,EEG.Fp1,EEG.Fz,EEG.F3,EEG.F7,EEG.FT9,EEG.FC5,EEG.FC1,EEG.C3,EEG.T7,EEG.TP9,EEG.CP5,EEG.CP1,EEG.Pz,EEG.P3,EEG.P7,EEG.O1,EEG.Oz,EEG.O2,EEG.P4,EEG.P8,EEG.TP10,EEG.CP6,EEG.CP2,EEG.C4,EEG.T8,EEG.FT10,EEG.FC6,EEG.FC2,EEG.F4,EEG.F8,EEG.Fp2,EEG.AF7,EEG.AF3,EEG.AFz,EEG.F1,EEG.F5,EEG.FT7,EEG.FC3,EEG.C1,EEG.C5,EEG.TP7,EEG.CP3,EEG.P1,EEG.P5,EEG.PO7,EEG.PO3,EEG.POz,EEG.PO4,EEG.PO8,EEG.P6,EEG.P2,EEG.CPz,EEG.CP4,EEG.TP8,EEG.C6,EEG.C2,EEG.FC4,EEG.FT8,EEG.F6,EEG.AF8,EEG.AF4,EEG.F2,EEG.FCz,number
0,0.010152881,0.0047388007,0.0050086887,0.009586721,0.0029658356,0.0061239004,0.0033567506,0.010375624,0.0074203233,0.01452799,0.0066777547,0.0014503645,0.0064446595,0.0050722957,0.020831784,0.00451761,0.005996965,0.009334738,0.0064936453,0.029476358,0.035508227,0.012026303,0.0046391673,0.0047358973,0.010358296,0.002457618,0.001537393,0.00080834527,0.0024265416,0.0026468441,0.008183904,0.009947647,0.009384107,0.008612514,0.0034368932,0.012171153,0.0060436837,0.0062114745,0.0042514238,0.02904032,0.013311379,0.00549318,0.0030714492,0.017096851,0.009727915,0.011154019,0.005629072,0.010093008,0.034388267,0.015413265,0.0073801144,0.0031488556,0.008584887,0.019413091,0.042301215,0.0029038284,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1,0.01572822,0.008797913,0.0043169,0.011407312,0.0043660095,0.00782843,0.0038393554,0.017086029,0.005630541,0.019348754,0.0063438844,0.0021239275,0.011026116,0.006817275,0.027070316,0.008285336,0.0049044173,0.00681546,0.019426238,0.030806927,0.049814522,0.02705417,0.006133182,0.005269039,0.011895223,0.0034214717,0.0022923718,0.001509812,0.0037093575,0.0028186429,0.009547962,0.009506886,0.008284455,0.011610369,0.0058180294,0.013836209,0.008101911,0.010528389,0.0058813826,0.02685655,0.01702051,0.01976247,0.004238087,0.022869656,0.013577793,0.010847861,0.006224314,0.012797682,0.03138463,0.022931216,0.00907656,0.006770504,0.014097054,0.031731,0.0707375,0.0024485637,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2,0.027149031,0.00991255,0.0060898727,0.012125019,0.0047471724,0.0075351316,0.003627906,0.014646861,0.008821718,0.020626891,0.011110081,0.0023737582,0.010179711,0.007803778,0.0199051,0.0109467795,0.00821219,0.01595079,0.013443214,0.022572072,0.08354652,0.014409383,0.0062414007,0.004760175,0.01072515,0.002555253,0.0017770162,0.0012165302,0.0033216092,0.0024671222,0.014631674,0.011840817,0.009301681,0.00937729,0.0077727344,0.019590544,0.0066098203,0.013280658,0.008112579,0.04954703,0.022942321,0.0145929465,0.00463062,0.02106863,0.015598251,0.011287604,0.008451881,0.014794146,0.0406253,0.022027561,0.008308718,0.0054048137,0.017655378,0.020575149,0.059031736,0.0023575881,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
3,0.03489617,0.008645052,0.008099751,0.011645691,0.0058792774,0.009293203,0.0049748737,0.014783475,0.016606921,0.02433339,0.0103172595,0.0022918675,0.011012735,0.00956979,0.03303066,0.009643539,0.0116351135,0.018982857,0.010373285,0.026204782,0.057777263,0.03793512,0.006813406,0.006366192,0.017090794,0.003679633,0.0016912713,0.0009987435,0.0037117465,0.0038725734,0.015771888,0.016888458,0.010607834,0.009987878,0.0046301303,0.017322635,0.00921706,0.016361322,0.008109742,0.058373086,0.02986672,0.01875363,0.00412802,0.0196925,0.01767853,0.009591307,0.015620562,0.018572804,0.039814398,0.02924814,0.010950406,0.006655387,0.01807575,0.032822978,0.077400014,0.0031400858,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
4,0.034518644,0.008739198,0.009506743,0.013851699,0.003842315,0.01187478,0.006082517,0.010850544,0.010955031,0.036350757,0.013038676,0.003950983,0.011679174,0.016319258,0.029909048,0.013112821,0.008315825,0.021218974,0.017522616,0.024450308,0.067804754,0.021861974,0.007671127,0.0066103875,0.01779524,0.00384239,0.0027178593,0.001575522,0.003478697,0.0048644594,0.014973251,0.018950135,0.010251933,0.008929323,0.005417527,0.014821987,0.010790085,0.017868778,0.0057036993,0.042917963,0.022186361,0.0155195175,0.004242823,0.03347444,0.014389345,0.013515637,0.016223617,0.020634817,0.05881879,0.035183795,0.010704255,0.005686723,0.012910405,0.031764895,0.07143234,0.0036852183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
5,0.048868924,0.00883935,0.019135563,0.019118216,0.0035981843,0.01567216,0.007237062,0.019473266,0.014307255,0.043073684,0.023643648,0.003785863,0.018695524,0.01469605,0.039282754,0.01622956,0.008273717,0.021560052,0.02522458,0.03570822,0.056494277,0.021118814,0.008018502,0.007819401,0.02232323,0.004855787,0.0031747296,0.0016326399,0.0056162803,0.0070266137,0.021076595,0.019140294,0.011770844,0.009835686,0.006264469,0.014595098,0.009141218,0.013396721,0.0063344133,0.053323284,0.023129342,0.027693378,0.005524915,0.026316114,0.012717059,0.01140383,0.016827377,0.029034644,0.03605387,0.035584815,0.01912172,0.0037118355,0.009700943,0.029082399,0.06860951,0.0048918594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
6,0.035416327,0.009286614,0.020029765,0.016860148,0.004854422,0.017140107,0.0061807004,0.023717731,0.017164508,0.044837825,0.017615678,0.0035033443,0.01979334,0.017525915,0.035802796,0.012455698,0.009615402,0.019760136,0.029942457,0.03643212,0.09800115,0.032980204,0.01057787,0.007196991,0.02671024,0.006724133,0.0023982518,0.001816189,0.004571398,0.0065706614,0.016832171,0.02419894,0.013936556,0.010273824,0.0072438386,0.010573248,0.009401422,0.01188448,0.0054636733,0.06546638,0.025322085,0.025502082,0.0052451394,0.030465994,0.01860239,0.010614922,0.020313207,0.023432784,0.07101479,0.03914097,0.01934082,0.008052509,0.012639589,0.03008685,0.06731923,0.0045772344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
7,0.035186104,0.008514935,0.02016854,0.018374013,0.0038898208,0.016276112,0.004987841,0.021316677,0.017521342,0.056146655,0.019470775,0.0035076318,0.019200202,0.026012823,0.03431812,0.016141048,0.010575716,0.024140662,0.04329018,0.032715946,0.08597751,0.032978117,0.0069258474,0.008495425,0.029548218,0.0066521387,0.003768449,0.0015167922,0.0045087514,0.009041627,0.014697828,0.024754642,0.014744952,0.009919638,0.007235595,0.015633296,0.011621807,0.015195235,0.008509067,0.06853512,0.029683808,0.02139006,0.0047834152,0.03132977,0.020874968,0.011075943,0.01720548,0.026228327,0.08811016,0.026573267,0.022650205,0.0044707246,0.013033421,0.02985222,0.063547865,0.0032564127,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
8,0.037033863,0.006854112,0.022444138,0.014559688,0.005840305,0.016586827,0.0056722425,0.024455082,0.017998189,0.06489905,0.026875302,0.0027873574,0.013966069,0.02539896,0.035735086,0.014548361,0.014917616,0.026837388,0.022456918,0.03771016,0.074297786,0.04122506,0.011989886,0.013613983,0.033857264,0.006400943,0.0033971218,0.0024056002,0.0041474667,0.011139653,0.021078635,0.027862797,0.009040188,0.014136856,0.0048759114,0.016139377,0.010621028,0.0152078485,0.004973979,0.067754775,0.031751916,0.029104913,0.0045947284,0.029746894,0.0210432,0.008570382,0.016679281,0.02586222,0.06322584,0.037107896,0.021921745,0.005728894,0.014609273,0.045156468,0.05698345,0.0047895797,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
9,0.03770395,0.006472549,0.018333253,0.018369367,0.006738677,0.013993653,0.006244981,0.025485493,0.016796222,0.059738986,0.029921286,0.0025748645,0.019286776,0.023345765,0.043426123,0.01778515,0.011903811,0.031783074,0.025693635,0.040823277,0.111030236,0.039503895,0.011843652,0.0068348427,0.031910215,0.0057895607,0.0026179347,0.002019673,0.003571092,0.0071407086,0.019642346,0.027397925,0.014122857,0.017906826,0.009078528,0.020007158,0.011622188,0.018791828,0.009379414,0.083805576,0.036254436,0.023318615,0.0058472687,0.027987568,0.026472235,0.011995286,0.02109718,0.02449162,0.039029468,0.03999913,0.013725659,0.006756277,0.013894237,0.05405837,0.07474671,0.004760252,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
